,Rank,Score,farm_cws,Farmer,Region,Weight (Kg),Variety,Processing System
0,1.0,89.28,Pantan Musara,Dilen Ali Gogo,Aceh,210,"Ateng, Gayo 1, P88",Honey
1,2.0,89.04,Ibun Ita,Ita Rosita,Jawa Barat,186,Sigararutang,Natural
2,3.0,88.89,Pantan Musara,Roberto Bagus Syahputra,Aceh,262,"Ateng, Gayo 1, P88",Washed
3,4.0,88.75,Ijen Lestari,Dandy Darmawan,Jawa Timur,359,"USDA, Colombia Brazil",Natural
4,5.0,88.58,Ibun Yudi,Yudi,Jawa Barat,206,"Sigararutang, Kartika, S-795",Natural
5,6.0,88.49,Koperasi Koerintji Barokah,Triyono,Jambi,206,"Sigararutang, S-795, Andungsari",Honey
6,7.0,88.46,Avatara Gayo,Drs Hamdan,Aceh,218,"Abyssinia, P88, Ateng, Typica",Natural
7,8.0,88.3,Kamojang,Ahmad Vansyu,Jawa Barat,203,"Ateng, Sigararutang, S-795, Andungsari",Washed
8,9.0,88.25,Topidi,Daeng Halim,Sulawesi Selatan,189,Typica,Washed
9,10.0,88.15,Lereng Gunung Argopuro Krucil,Dinul Haq Sabyli,Jawa Timur,194,Cobra & Typica,Natural
10,11.0,88.14,Topidi,Daeng Balengkang,Sulawesi Selatan,210,Typica,Natural
11,12.0,88.05,PT Sulotco Jaya Abadi,Samuel Karundeng,Sulawesi Selatan,210,"S-795, USDA, Catuai",Washed
12,13.0,87.88,Malabar Mountain Coffee,Muhammad Irwan,Jawa Barat,157,"Lini S 795, Catimor, Sigararutang",Natural
13,14.0,87.76,Baru Dadap Petak 46,Saeful Hadi,Jawa Barat,237,Typica,Washed
14,15.0,87.72,Ketapanrame,Wardoyo,Jawa Timur,207,Typica& P-88,Natural
15,16.0,87.71,Sukaramai,Sabarwin,Aceh,185,Ateng & Sigararutang,Wet Hull
16,17.0,87.69,Batukaang,I Wayan Parum,Bali,195,S-795 & Cobra,Natural
17,18.0,87.68,Angin-angin,Indo Pole,Sulawesi Selatan,210,S-795,Natural
18,19.0,87.62,Gravfarm Sukaratu,Gravfarm Indonesia,Jawa Barat,236,Sigararutang & S-795,Washed
19,20.0,87.62,Papandayan,Enung Sumartini,Jawa Barat,217,"S-795, Sigararutang, Yellow Bourbon",Natural
20,21.0,87.53,LPE Kelola Agro,Setra Yuhana,Jawa Barat,216,Andungsari & S-795,Natural
21,22.0,87.22,Sarongge,Santoso,Jawa Barat,210,"Sigararutang, S-795, Andungsari",Washed
22,23.0,87.21,Pantan Musara,Zakiah,Aceh,206,Ateng & P88,Natural
23,24.0,87.21,Bukit Sama,Dasimah Hakim,Aceh,206,Ateng,Wet Hull
24,25.0,87.16,Wajamala,Marselina Walu,NTT,217,S-795,Washed
25,26.0,87.1,HT Farm,Mukhlis M,Jambi,180,Andungsari & Sigararutang,Washed
26,,86.99,"Pengentaan, Semendo",Kiki Richardo Gumalag,Sumatera Selatan,225,Ateng & Typica,Washed
27,,86.88,Eco Bike Coffee,I Gusti Agung djelantik,Bali,225,"Kopyol, Kartika, Cobra",Natural
28,,86.88,Kebun Kolongkuring,Sukri,Sulawesi Selatan,237,"S-795, Typica",Natural
29,,86.88,Melaya,Iqbal Arisa,Aceh,445,"Ateng, Bourbon, Typica, S-795, P-88, Abbysinia",Washed
30,,86.29,"Totoruyet Kampung Ulunuwih Takengon, Aceh Tengah",Zainal Arifin,Aceh,205,Ateng & Timtim,Natural
31,,86.03,Dano,Ade Saedin,Jawa Barat,220,S 795,Washed
